Regiao;Ano;Qtd_Produzida_Mesa_t;Area_Colhida_Mesa_ha;Qtd_Produzida_Ind_t;Area_Colhida_Ind_ha;Produtividade_Mesa_tha;Produtividade_Industrial_tha
CENTRO GOIANO;2012;48930.0;638.0;272115.0;3436.0;76.69278996865204;79.19528521536671
CENTRO GOIANO;2013;41471.0;550.0;199254.0;2433.0;75.40181818181819;81.8964241676942
CENTRO GOIANO;2014;39875.0;526.0;316350.0;3600.0;75.80798479087453;87.875
CENTRO GOIANO;2015;28438.0;390.0;181010.0;1910.0;72.91794871794872;94.7696335078534
CENTRO GOIANO;2016;21695.0;294.0;196275.0;2225.0;73.79251700680273;88.21348314606742
CENTRO GOIANO;2017;23137.0;304.0;323105.0;3576.0;76.10855263157895;90.35374720357942
CENTRO GOIANO;2018;12847.0;151.0;151100.0;1745.0;85.0794701986755;86.59025787965616
CENTRO GOIANO;2019;0.0;0.0;0.0;0.0;0.0;0.0
CENTRO GOIANO;2020;0.0;0.0;54400.0;620.0;0.0;87.74193548387096
CENTRO GOIANO;2021;8003.0;105.0;18200.0;198.0;76.21904761904761;91.91919191919192
CENTRO GOIANO;2022;9459.0;123.0;2732.0;3010.0;76.90243902439025;0.9076411960132891
LESTE GOIANO;2012;26628.0;296.0;326365.0;3282.0;89.95945945945945;99.44088970140159
LESTE GOIANO;2013;26015.0;313.0;51131.0;5755.0;83.1150159744409;8.88462206776716
LESTE GOIANO;2014;26628.0;323.0;336720.0;3540.0;82.43962848297214;95.11864406779661
LESTE GOIANO;2015;24030.0;288.0;306400.0;3560.0;83.4375;86.06741573033707
LESTE GOIANO;2016;23769.0;288.0;233700.0;3315.0;82.53125;70.49773755656109
LESTE GOIANO;2017;17060.0;248.0;298530.0;5130.0;68.79032258064517;58.19298245614035
LESTE GOIANO;2018;32900.0;353.0;360710.0;4060.0;93.20113314447592;88.84482758620689
LESTE GOIANO;2019;0.0;0.0;0.0;0.0;0.0;0.0
LESTE GOIANO;2020;0.0;0.0;354540.0;3937.0;0.0;90.05334010668021
LESTE GOIANO;2021;44036.0;502.0;588393.0;6825.0;87.7211155378486;86.21142857142857
LESTE GOIANO;2022;53763.0;658.0;401552.0;4335.0;81.70668693009118;92.63021914648212
NOROESTE GOIANO;2012;0.0;0.0;23335.0;3590.0;0.0;6.5
NOROESTE GOIANO;2013;0.0;0.0;321.0;4280.0;0.0;0.075
NOROESTE GOIANO;2014;0.0;0.0;33280.0;416.0;0.0;80.0
NOROESTE GOIANO;2015;0.0;0.0;29600.0;370.0;0.0;80.0
NOROESTE GOIANO;2016;0.0;0.0;0.0;0.0;0.0;0.0
NOROESTE GOIANO;2017;0.0;0.0;3200.0;40.0;0.0;80.0
NOROESTE GOIANO;2018;0.0;0.0;2.0;40.0;0.0;0.05
NOROESTE GOIANO;2019;0.0;0.0;0.0;0.0;0.0;0.0
NOROESTE GOIANO;2020;0.0;0.0;0.0;0.0;0.0;0.0
NOROESTE GOIANO;2021;0.0;0.0;0.0;0.0;0.0;0.0
NOROESTE GOIANO;2022;0.0;0.0;0.0;0.0;0.0;0.0
NORTE GOIANO;2012;200.0;5.0;31.0;620.0;40.0;0.05
NORTE GOIANO;2013;200.0;5.0;1331.0;2140.0;40.0;0.6219626168224299
NORTE GOIANO;2014;475.0;5.0;0.0;0.0;95.0;0.0
NORTE GOIANO;2015;475.0;5.0;0.0;0.0;95.0;0.0
NORTE GOIANO;2016;1236.0;12.0;0.0;0.0;103.0;0.0
NORTE GOIANO;2017;1040.0;13.0;0.0;0.0;80.0;0.0
NORTE GOIANO;2018;1620.0;18.0;0.0;0.0;90.0;0.0
NORTE GOIANO;2019;0.0;0.0;0.0;0.0;0.0;0.0
NORTE GOIANO;2020;0.0;0.0;0.0;0.0;0.0;0.0
NORTE GOIANO;2021;19000.0;200.0;0.0;0.0;95.0;0.0
NORTE GOIANO;2022;190.0;200.0;0.0;0.0;0.95;0.0
SUL GOIANO;2012;9174.0;160.0;447231.0;579.0;57.3375;772.419689119171
SUL GOIANO;2013;3273.0;53.0;490674.0;5928.0;61.75471698113208;82.77226720647774
SUL GOIANO;2014;3169.0;41.0;298840.0;3269.0;77.29268292682927;91.41633527072499
SUL GOIANO;2015;9146.0;126.0;333877.0;4004.0;72.58730158730158;83.38586413586414
SUL GOIANO;2016;4605.0;81.0;453378.0;5237.0;56.851851851851855;86.57208325377124
SUL GOIANO;2017;8763.0;107.0;577228.0;6889.0;81.89719626168224;83.78980984177674
SUL GOIANO;2018;7616.0;120.0;630032.0;6497.0;63.46666666666667;96.97275665691858
SUL GOIANO;2019;0.0;0.0;1013730.0;0.0;0.0;0.0
SUL GOIANO;2020;0.0;0.0;582037.0;5967.0;0.0;97.5426512485336
SUL GOIANO;2021;7316.0;112.0;556547.0;5662.0;65.32142857142857;98.29512539738609
SUL GOIANO;2022;11979.0;172.0;546888.0;7617.0;69.6453488372093;71.7983458054352
